epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8076,3.64122,3.88894,1.42797,0.00333,0.05,0.00181,0.00027,2.84204,3.80393,1.13859,0.0002,0.0002,0.0002
2,32.9527,2.4038,2.87224,0.99822,0.03833,0.575,0.04773,0.01575,2.00664,3.42235,0.90635,0.000411684,0.000411684,0.000411684
3,47.3631,1.94747,1.69944,0.87689,0.06167,0.925,0.2431,0.07408,1.50347,2.97251,0.83183,0.000614656,0.000614656,0.000614656
4,67.8972,1.88305,1.46692,0.84031,0.82385,0.70157,0.85319,0.49967,1.33786,2.11822,0.79261,0.000808916,0.000808916,0.000808916
5,82.4441,1.74975,1.39209,0.83892,0.95259,0.50239,0.94762,0.57184,1.28853,1.8406,0.79445,0.000994464,0.000994464,0.000994464
6,96.9603,1.63447,1.23241,0.82808,0.97246,0.88306,0.96175,0.62987,1.18831,1.54421,0.80116,0.0011713,0.0011713,0.0011713
7,110.031,1.64188,1.20288,0.82947,0.96265,0.9,0.96311,0.54688,1.32454,1.15287,0.78691,0.00133942,0.00133942,0.00133942
8,124.707,1.58636,1.13331,0.82343,0.97386,0.93162,0.96439,0.61547,1.19834,0.91839,0.77333,0.00149884,0.00149884,0.00149884
9,139.328,1.46858,1.10056,0.81521,0.97386,0.93162,0.96439,0.61547,1.19834,0.91839,0.77333,0.00164954,0.00164954,0.00164954
10,154.234,1.79283,1.14171,0.84878,0.9561,0.85,0.95655,0.5008,1.5006,1.03,0.81572,0.0016436,0.0016436,0.0016436
11,177.309,1.78021,1.14587,0.85383,0.9238,0.775,0.92969,0.48766,1.48207,0.97721,0.81987,0.001604,0.001604,0.001604
12,192.357,1.65808,1.08247,0.83093,0.9238,0.775,0.92969,0.48766,1.48207,0.97721,0.81987,0.0015644,0.0015644,0.0015644
13,222.159,1.34937,0.97462,0.82407,0.89123,0.875,0.94696,0.61689,1.21505,0.9472,0.78729,0.0015248,0.0015248,0.0015248
14,242.588,1.44681,1.01853,0.80801,0.72441,0.9,0.8102,0.54176,1.17378,0.8699,0.77585,0.0014852,0.0014852,0.0014852
15,256.762,1.58041,1.08241,0.80117,0.72441,0.9,0.8102,0.54176,1.17378,0.8699,0.77585,0.0014456,0.0014456,0.0014456
16,271.563,1.32414,0.93774,0.81075,0.71867,0.925,0.81788,0.56269,1.10846,0.79876,0.77665,0.001406,0.001406,0.001406
17,286.734,1.62216,0.98912,0.80696,0.74429,0.975,0.91626,0.63625,1.04408,0.75832,0.77469,0.0013664,0.0013664,0.0013664
18,302.072,1.56676,0.96022,0.80576,0.97479,0.96675,0.99243,0.70687,1.02351,0.73326,0.7782,0.0013268,0.0013268,0.0013268
19,320.371,1.54417,0.96362,0.81399,0.97479,0.96675,0.99243,0.70687,1.02351,0.73326,0.7782,0.0012872,0.0012872,0.0012872
20,335.591,1.24494,0.89916,0.8084,0.996,1,0.995,0.7673,0.96554,0.66867,0.7744,0.0012476,0.0012476,0.0012476
21,351.759,1.19752,0.90265,0.82063,0.99812,1,0.995,0.7574,0.90593,0.64285,0.76989,0.001208,0.001208,0.001208
22,366.61,1.21881,0.8398,0.79381,0.99812,1,0.995,0.7574,0.90593,0.64285,0.76989,0.0011684,0.0011684,0.0011684
23,391.31,1.26389,0.85231,0.80668,0.99863,1,0.995,0.77108,0.86055,0.63609,0.76908,0.0011288,0.0011288,0.0011288
24,405.666,1.04636,0.76447,0.80381,0.99898,1,0.995,0.78335,0.84665,0.61493,0.76471,0.0010892,0.0010892,0.0010892
25,429.286,1.14675,0.81235,0.79454,0.99898,1,0.995,0.78335,0.84665,0.61493,0.76471,0.0010496,0.0010496,0.0010496
26,443.455,1.14119,0.78162,0.78727,1,0.99956,0.995,0.78661,0.85921,0.60085,0.7661,0.00101,0.00101,0.00101
27,458.587,1.18368,0.77047,0.78823,0.99938,1,0.995,0.80108,0.82006,0.58827,0.76089,0.0009704,0.0009704,0.0009704
28,472.197,1.2091,0.77828,0.7824,0.99938,1,0.995,0.80108,0.82006,0.58827,0.76089,0.0009308,0.0009308,0.0009308
29,485.251,1.01382,0.70888,0.79349,0.99791,1,0.995,0.78396,0.78904,0.57456,0.75743,0.0008912,0.0008912,0.0008912
30,498.52,1.09153,0.75294,0.79175,0.99729,1,0.995,0.79434,0.77627,0.56911,0.75903,0.0008516,0.0008516,0.0008516
31,511.852,1.14256,0.74078,0.7898,0.99729,1,0.995,0.79434,0.77627,0.56911,0.75903,0.000812,0.000812,0.000812
32,524.975,1.10201,0.75485,0.78685,0.9963,1,0.995,0.8031,0.74726,0.56131,0.75792,0.0007724,0.0007724,0.0007724
33,539.536,1.12424,0.73705,0.78341,0.99624,1,0.995,0.8103,0.75154,0.57922,0.75896,0.0007328,0.0007328,0.0007328
34,555.713,1.21806,0.75642,0.78058,0.99696,1,0.995,0.78753,0.76538,0.58173,0.76055,0.0006932,0.0006932,0.0006932
35,571.261,1.03946,0.69798,0.78845,0.99696,1,0.995,0.78753,0.76538,0.58173,0.76055,0.0006536,0.0006536,0.0006536
36,587.525,1.12313,0.72003,0.78155,0.99755,1,0.995,0.78955,0.77045,0.55894,0.75842,0.000614,0.000614,0.000614
37,603.477,0.99517,0.6893,0.78992,0.99766,1,0.995,0.7999,0.75432,0.53398,0.75387,0.0005744,0.0005744,0.0005744
38,618.364,0.99987,0.66368,0.78079,0.99766,1,0.995,0.7999,0.75432,0.53398,0.75387,0.0005348,0.0005348,0.0005348
39,633.328,1.03702,0.67045,0.78149,0.99763,1,0.995,0.81332,0.73946,0.51735,0.75133,0.0004952,0.0004952,0.0004952
40,646.676,0.99031,0.66617,0.77712,0.99761,1,0.995,0.81187,0.71965,0.51923,0.75071,0.0004556,0.0004556,0.0004556
41,659.464,0.8713,0.64236,0.79936,0.99761,1,0.995,0.81187,0.71965,0.51923,0.75071,0.000416,0.000416,0.000416
42,672.332,0.86207,0.63293,0.77549,0.99799,1,0.995,0.82102,0.69329,0.5223,0.7515,0.0003764,0.0003764,0.0003764
43,685.513,0.84064,0.61537,0.78375,0.99825,1,0.995,0.82047,0.67616,0.52632,0.75304,0.0003368,0.0003368,0.0003368
44,698.6,0.81481,0.62287,0.79438,0.99825,1,0.995,0.82047,0.67616,0.52632,0.75304,0.0002972,0.0002972,0.0002972
45,712.738,0.841,0.61466,0.80231,0.99804,1,0.995,0.81646,0.68051,0.52066,0.75273,0.0002576,0.0002576,0.0002576
46,725.591,0.8929,0.65434,0.7944,0.99788,1,0.995,0.8293,0.68063,0.51716,0.75212,0.000218,0.000218,0.000218
47,738.743,0.94481,0.69658,0.79218,0.99788,1,0.995,0.8293,0.68063,0.51716,0.75212,0.0001784,0.0001784,0.0001784
48,751.836,0.91505,0.65276,0.78381,0.99777,1,0.995,0.82975,0.67954,0.51374,0.75186,0.0001388,0.0001388,0.0001388
49,768.027,0.88276,0.6404,0.77705,0.99791,1,0.995,0.83093,0.67656,0.50652,0.75163,9.92e-05,9.92e-05,9.92e-05
50,783.873,0.82503,0.6147,0.77737,0.99799,1,0.995,0.82831,0.67751,0.50186,0.75206,5.96e-05,5.96e-05,5.96e-05
