epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.443,2.7165,3.90981,1.5844,0.03333,0.5,0.02539,0.01266,1.59072,3.60073,1.08098,0.0001,0.0001,0.0001
2,209.495,1.55932,2.8551,1.04056,0.06667,1,0.09379,0.04724,1.4039,3.32455,0.86783,0.000218548,0.000218548,0.000218548
3,280.086,1.30283,1.58068,0.92023,0.065,0.975,0.74358,0.48943,1.08237,2.92664,0.84616,0.000335512,0.000335512,0.000335512
4,358.777,1.16724,1.17447,0.907,0.02833,0.425,0.35647,0.24549,1.18792,2.84526,0.85681,0.000450892,0.000450892,0.000450892
5,452.733,1.06707,1.02893,0.90163,0.00833,0.125,0.04951,0.03961,1.05174,2.82382,0.86648,0.000564688,0.000564688,0.000564688
6,537.271,1.14246,1.00788,0.92488,0.03,0.45,0.29534,0.21273,1.01506,2.78092,0.85379,0.0006769,0.0006769,0.0006769
7,623.091,1.13217,0.94083,0.89864,0.015,0.225,0.07355,0.04701,1.14206,2.83769,0.85875,0.000787528,0.000787528,0.000787528
8,706.834,1.06409,0.88214,0.91196,0.045,0.675,0.51019,0.33465,0.96842,2.66595,0.84765,0.000896572,0.000896572,0.000896572
9,813.196,0.99848,0.82047,0.88513,1,0.87805,0.95506,0.66066,0.93721,2.26618,0.83323,0.00100403,0.00100403,0.00100403
10,904.218,1.02977,0.80997,0.89102,0.9386,0.55,0.86028,0.63375,0.94821,2.23697,0.81712,0.00110991,0.00110991,0.00110991
11,984.251,1.1033,0.84038,0.89405,1,0.72234,0.99203,0.67266,0.86625,1.83914,0.81008,0.0012142,0.0012142,0.0012142
12,1056.09,0.98363,0.77787,0.88327,1,0.84475,0.995,0.73147,0.81786,1.82247,0.81252,0.00131691,0.00131691,0.00131691
13,1129.19,0.96006,0.7466,0.88174,1,0.96402,0.99451,0.79508,0.78568,1.59541,0.80524,0.00141803,0.00141803,0.00141803
14,1213.9,1.01639,0.76421,0.89365,1,0.89928,0.9933,0.775,0.79101,1.54057,0.80582,0.00151757,0.00151757,0.00151757
15,1281.27,1.04231,0.78037,0.89159,1,0.95856,0.99405,0.71663,0.93677,1.55394,0.8032,0.00161553,0.00161553,0.00161553
16,1353.79,1.06103,0.76977,0.90566,1,0.99904,0.995,0.67697,0.90484,1.19025,0.82567,0.0017119,0.0017119,0.0017119
17,1430.23,0.99728,0.72735,0.87071,0.99918,1,0.995,0.68903,0.88323,1.05909,0.82962,0.0017888,0.0017888,0.0017888
18,1503.75,0.94062,0.69425,0.86705,0.99596,1,0.995,0.74394,0.83104,1.03734,0.80826,0.0017756,0.0017756,0.0017756
19,1609.48,0.95128,0.73916,0.87639,0.99422,1,0.995,0.64195,0.97001,1.04068,0.84109,0.0017624,0.0017624,0.0017624
20,1696.23,1.00754,0.7288,0.87031,0.99571,1,0.995,0.78904,0.82008,0.72978,0.80225,0.0017492,0.0017492,0.0017492
21,1802.46,1.03453,0.73741,0.87545,0.97048,1,0.99256,0.78322,0.779,0.72514,0.79878,0.001736,0.001736,0.001736
22,1874.89,0.99999,0.74706,0.89099,0.99456,1,0.995,0.77596,0.82265,0.77959,0.82297,0.0017228,0.0017228,0.0017228
23,1947.94,0.91474,0.68243,0.86786,0.99643,1,0.995,0.82366,0.7406,0.78895,0.80617,0.0017096,0.0017096,0.0017096
24,2015.4,0.91011,0.69505,0.87979,0.99835,1,0.995,0.81094,0.73512,0.58248,0.80694,0.0016964,0.0016964,0.0016964
25,2124.7,0.93871,0.67826,0.88144,0.99847,1,0.995,0.80235,0.79028,0.54515,0.80664,0.0016832,0.0016832,0.0016832
26,2238.81,0.92204,0.67586,0.87051,0.9981,1,0.995,0.81298,0.75648,0.55965,0.81578,0.00167,0.00167,0.00167
27,2379.3,0.89233,0.6675,0.86844,0.99819,1,0.995,0.80566,0.74985,0.54267,0.80564,0.0016568,0.0016568,0.0016568
28,2495.95,0.82371,0.62,0.86145,0.99824,1,0.995,0.82717,0.71626,0.53643,0.80049,0.0016436,0.0016436,0.0016436
29,2614.19,0.95354,0.66963,0.86871,0.99814,1,0.995,0.83372,0.70888,0.54356,0.80147,0.0016304,0.0016304,0.0016304
30,2693.92,0.89289,0.64774,0.87186,0.99822,1,0.995,0.82894,0.67959,0.50966,0.7963,0.0016172,0.0016172,0.0016172
31,2771.17,0.86851,0.63274,0.8542,0.99851,1,0.995,0.827,0.70542,0.49979,0.79807,0.001604,0.001604,0.001604
32,2851.73,0.8814,0.62071,0.85667,0.99802,1,0.995,0.72009,1.01971,0.53467,0.84164,0.0015908,0.0015908,0.0015908
33,2931.1,0.94425,0.62727,0.87007,0.99803,1,0.995,0.75335,0.95181,0.54689,0.83187,0.0015776,0.0015776,0.0015776
34,3030.7,0.92292,0.63167,0.86666,0.99812,1,0.995,0.80998,0.70326,0.50132,0.80584,0.0015644,0.0015644,0.0015644
35,3106.76,0.90939,0.59557,0.86051,0.998,1,0.995,0.77164,0.88575,0.52842,0.83197,0.0015512,0.0015512,0.0015512
36,3215.81,0.92857,0.60337,0.86946,0.99807,1,0.995,0.83267,0.68939,0.55765,0.80561,0.001538,0.001538,0.001538
37,3343.93,0.85618,0.57769,0.84603,0.99794,1,0.995,0.81723,0.66797,0.53301,0.7984,0.0015248,0.0015248,0.0015248
38,3446.18,0.85251,0.58214,0.84861,0.99828,1,0.995,0.73905,0.93314,0.52562,0.83309,0.0015116,0.0015116,0.0015116
39,3531.33,0.79715,0.54893,0.84388,0.99848,1,0.995,0.79047,0.77767,0.48291,0.817,0.0014984,0.0014984,0.0014984
40,3627.75,0.85683,0.57604,0.8557,0.99859,1,0.995,0.82314,0.69067,0.46505,0.7951,0.0014852,0.0014852,0.0014852
41,3728.11,0.83225,0.56836,0.84105,0.99855,1,0.995,0.83098,0.70876,0.46334,0.799,0.001472,0.001472,0.001472
42,3813.61,0.82778,0.56148,0.84271,0.99864,1,0.995,0.81877,0.67733,0.47102,0.79872,0.0014588,0.0014588,0.0014588
43,3902.34,0.80704,0.53729,0.84063,0.99864,1,0.995,0.79713,0.84134,0.48682,0.80916,0.0014456,0.0014456,0.0014456
44,3996.37,0.82051,0.5488,0.84107,0.99846,1,0.995,0.84685,0.67514,0.45436,0.80013,0.0014324,0.0014324,0.0014324
45,4116.34,0.83509,0.54356,0.85306,0.99852,1,0.995,0.83578,0.65845,0.45022,0.79933,0.0014192,0.0014192,0.0014192
46,4218.56,0.84546,0.54953,0.84075,0.99849,1,0.995,0.81592,0.72787,0.45111,0.80083,0.001406,0.001406,0.001406
47,4311.6,0.7647,0.53408,0.84254,0.99848,1,0.995,0.83872,0.63826,0.45657,0.79181,0.0013928,0.0013928,0.0013928
48,4399.72,0.74889,0.5199,0.83683,0.99854,1,0.995,0.78543,0.81057,0.48856,0.81192,0.0013796,0.0013796,0.0013796
49,4484.89,0.79375,0.5334,0.84204,0.99852,1,0.995,0.80778,0.71747,0.46429,0.80246,0.0013664,0.0013664,0.0013664
50,4583.07,0.86048,0.55056,0.85103,0.99835,1,0.995,0.81671,0.67395,0.4516,0.7948,0.0013532,0.0013532,0.0013532
51,4686.66,0.78512,0.54794,0.84356,0.99841,1,0.995,0.82598,0.6945,0.44529,0.79753,0.00134,0.00134,0.00134
52,4790.49,0.76182,0.53661,0.82979,0.99861,1,0.995,0.83391,0.68331,0.44922,0.79064,0.0013268,0.0013268,0.0013268
53,4887.63,0.78226,0.54735,0.83565,0.99857,1,0.995,0.81369,0.73958,0.46072,0.79552,0.0013136,0.0013136,0.0013136
54,4985.64,0.76822,0.5271,0.82954,0.99841,1,0.995,0.81522,0.73967,0.44436,0.7953,0.0013004,0.0013004,0.0013004
55,5077.1,0.74476,0.51318,0.83737,0.99839,1,0.995,0.81872,0.74934,0.45116,0.80066,0.0012872,0.0012872,0.0012872
56,5167.7,0.84493,0.55351,0.8428,0.99846,1,0.995,0.83798,0.63625,0.46206,0.78823,0.001274,0.001274,0.001274
57,5265.47,0.83044,0.54728,0.85207,0.99848,1,0.995,0.82748,0.65725,0.44174,0.79137,0.0012608,0.0012608,0.0012608
58,5373.95,0.79915,0.5182,0.83408,0.99854,1,0.995,0.84881,0.66868,0.43087,0.79956,0.0012476,0.0012476,0.0012476
59,5479.05,0.83261,0.54266,0.86274,0.99858,1,0.995,0.82084,0.71327,0.44043,0.80042,0.0012344,0.0012344,0.0012344
60,5598.03,0.81763,0.52062,0.8414,0.9985,1,0.995,0.78952,0.79919,0.46461,0.81983,0.0012212,0.0012212,0.0012212
61,5705.63,0.79605,0.52301,0.8439,0.99841,1,0.995,0.84835,0.65021,0.43459,0.80233,0.001208,0.001208,0.001208
62,5804.2,0.78108,0.51221,0.84235,0.99854,1,0.995,0.8343,0.65535,0.45292,0.78724,0.0011948,0.0011948,0.0011948
63,5887.13,0.78888,0.51246,0.83883,0.99856,1,0.995,0.78291,0.84114,0.48089,0.80422,0.0011816,0.0011816,0.0011816
64,5980.37,0.83236,0.51351,0.82853,0.99859,1,0.995,0.81935,0.72372,0.47195,0.79807,0.0011684,0.0011684,0.0011684
65,6061.61,0.74644,0.49421,0.82766,0.99838,1,0.995,0.83531,0.6424,0.44242,0.78899,0.0011552,0.0011552,0.0011552
66,6184.01,0.75343,0.49523,0.83521,0.99847,1,0.995,0.84348,0.67824,0.43102,0.79059,0.001142,0.001142,0.001142
67,6343.15,0.80222,0.51243,0.83973,0.99852,1,0.995,0.84898,0.67149,0.42878,0.79121,0.0011288,0.0011288,0.0011288
68,6448.72,0.736,0.48454,0.83492,0.99856,1,0.995,0.84823,0.62184,0.38102,0.78706,0.0011156,0.0011156,0.0011156
69,6563.33,0.73701,0.48748,0.83527,0.99853,1,0.995,0.83722,0.64981,0.3935,0.79065,0.0011024,0.0011024,0.0011024
70,6679.48,0.80919,0.50246,0.83513,0.99851,1,0.995,0.82503,0.68958,0.40367,0.79821,0.0010892,0.0010892,0.0010892
71,6773.81,0.74707,0.47714,0.83009,0.99843,1,0.995,0.81081,0.69896,0.40844,0.79645,0.001076,0.001076,0.001076
72,6886.97,0.73074,0.48175,0.83164,0.99853,1,0.995,0.74829,0.87465,0.43546,0.8162,0.0010628,0.0010628,0.0010628
73,6999.18,0.75083,0.47377,0.83557,0.99851,1,0.995,0.80991,0.71408,0.42899,0.80135,0.0010496,0.0010496,0.0010496
74,7120.91,0.74121,0.47828,0.8249,0.99854,1,0.995,0.81867,0.71754,0.42999,0.79314,0.0010364,0.0010364,0.0010364
75,7214.89,0.74257,0.48864,0.83263,0.9986,1,0.995,0.81313,0.71192,0.42446,0.79188,0.0010232,0.0010232,0.0010232
76,7313.12,0.72807,0.46455,0.82958,0.99856,1,0.995,0.83197,0.64715,0.38844,0.78738,0.00101,0.00101,0.00101
77,7396.68,0.76297,0.47904,0.83136,0.99853,1,0.995,0.81943,0.67054,0.40558,0.78886,0.0009968,0.0009968,0.0009968
78,7478.67,0.74817,0.48533,0.8273,0.99841,1,0.995,0.82438,0.66597,0.39168,0.7996,0.0009836,0.0009836,0.0009836
79,7565.12,0.74196,0.47286,0.82489,0.99846,1,0.995,0.82304,0.68312,0.40104,0.79522,0.0009704,0.0009704,0.0009704
80,7651.16,0.73025,0.4683,0.8304,0.99848,1,0.995,0.84313,0.6077,0.38079,0.7878,0.0009572,0.0009572,0.0009572
81,7728.59,0.7018,0.46158,0.82798,0.99855,1,0.995,0.85074,0.63447,0.38598,0.79026,0.000944,0.000944,0.000944
82,7840.51,0.70021,0.45604,0.83212,0.9986,1,0.995,0.81679,0.7124,0.41583,0.79467,0.0009308,0.0009308,0.0009308
83,7937.87,0.73327,0.46494,0.83064,0.99861,1,0.995,0.82321,0.66914,0.40502,0.79311,0.0009176,0.0009176,0.0009176
84,8028.76,0.72036,0.46443,0.82834,0.99856,1,0.995,0.82333,0.68657,0.40686,0.79368,0.0009044,0.0009044,0.0009044
85,8123.38,0.73153,0.45722,0.82842,0.99857,1,0.995,0.82451,0.70825,0.39772,0.7923,0.0008912,0.0008912,0.0008912
86,8221.44,0.75129,0.48282,0.8296,0.99849,1,0.995,0.85631,0.60845,0.37499,0.78996,0.000878,0.000878,0.000878
87,8327.64,0.72522,0.45483,0.8315,0.99851,1,0.995,0.85993,0.62436,0.38222,0.79214,0.0008648,0.0008648,0.0008648
88,8424.58,0.73047,0.46367,0.82735,0.99852,1,0.995,0.83038,0.68885,0.38167,0.79614,0.0008516,0.0008516,0.0008516
89,8520.09,0.75218,0.47292,0.83259,0.99856,1,0.995,0.83172,0.66557,0.38893,0.79305,0.0008384,0.0008384,0.0008384
90,8635.99,0.6979,0.43934,0.82276,0.99859,1,0.995,0.85524,0.641,0.38814,0.79317,0.0008252,0.0008252,0.0008252
91,8721.56,0.76253,0.46601,0.82738,0.99859,1,0.995,0.84589,0.64325,0.37916,0.7919,0.000812,0.000812,0.000812
92,8855.09,0.71574,0.4431,0.81524,0.9985,1,0.995,0.86562,0.60346,0.37164,0.78919,0.0007988,0.0007988,0.0007988
93,9005.57,0.70821,0.44362,0.82503,0.99843,1,0.995,0.86826,0.59035,0.36582,0.78771,0.0007856,0.0007856,0.0007856
94,9104.39,0.69028,0.43492,0.82346,0.99845,1,0.995,0.85314,0.59661,0.38242,0.79057,0.0007724,0.0007724,0.0007724
95,9191.41,0.77674,0.4654,0.83335,0.99848,1,0.995,0.83352,0.62124,0.38736,0.79275,0.0007592,0.0007592,0.0007592
96,9257.4,0.75749,0.45699,0.83671,0.99844,1,0.995,0.83859,0.63237,0.39391,0.78888,0.000746,0.000746,0.000746
97,9330.79,0.72254,0.45857,0.82442,0.99845,1,0.995,0.84941,0.63449,0.40515,0.78835,0.0007328,0.0007328,0.0007328
98,9453.33,0.79675,0.4907,0.84164,0.99844,1,0.995,0.83643,0.62448,0.39239,0.7884,0.0007196,0.0007196,0.0007196
99,9568.78,0.70617,0.43932,0.82885,0.99855,1,0.995,0.84796,0.61613,0.39188,0.7861,0.0007064,0.0007064,0.0007064
100,9666.69,0.70538,0.44112,0.8241,0.99858,1,0.995,0.84599,0.65841,0.37839,0.79536,0.0006932,0.0006932,0.0006932
101,9760.95,0.73918,0.46064,0.82891,0.99853,1,0.995,0.84052,0.66909,0.37857,0.79163,0.00068,0.00068,0.00068
102,9853.61,0.70893,0.44222,0.83546,0.99847,1,0.995,0.85687,0.63044,0.38376,0.78876,0.0006668,0.0006668,0.0006668
103,9947.54,0.70992,0.454,0.84211,0.99845,1,0.995,0.83512,0.65197,0.39072,0.78945,0.0006536,0.0006536,0.0006536
104,10042,0.7096,0.44575,0.82173,0.9984,1,0.995,0.86056,0.5973,0.36728,0.78632,0.0006404,0.0006404,0.0006404
105,10129.2,0.72521,0.45208,0.8284,0.99843,1,0.995,0.86326,0.59587,0.35774,0.78604,0.0006272,0.0006272,0.0006272
106,10213.1,0.69278,0.42891,0.81997,0.99857,1,0.995,0.83962,0.65152,0.37507,0.79065,0.000614,0.000614,0.000614
107,10306.4,0.69797,0.44465,0.81675,0.99857,1,0.995,0.85528,0.62206,0.37639,0.78949,0.0006008,0.0006008,0.0006008
108,10400.7,0.7056,0.44207,0.82795,0.99853,1,0.995,0.8319,0.68592,0.38775,0.79533,0.0005876,0.0005876,0.0005876
109,10490.7,0.71425,0.45172,0.82848,0.99849,1,0.995,0.83176,0.68144,0.37939,0.79466,0.0005744,0.0005744,0.0005744
110,10596.4,0.68788,0.43044,0.82068,0.99846,1,0.995,0.85475,0.57916,0.3597,0.78573,0.0005612,0.0005612,0.0005612
111,10683,0.67913,0.42418,0.81604,0.99849,1,0.995,0.8584,0.58394,0.36857,0.78583,0.000548,0.000548,0.000548
112,10768.5,0.68703,0.43796,0.81984,0.99851,1,0.995,0.85735,0.6291,0.36229,0.78671,0.0005348,0.0005348,0.0005348
